0.00218736	0	1.0872761185
0.30555989	11	1.0872761185
0.452996431	38	1.0872761185
0.551874807	64	1.0872761185
0.638747468	114	1.0872761185
0.725924637	168	1.0872761185
0.82589469	198	1.0872761185
0.888542106	241	1.0872761185
0.963870146	262	1.0872761185
1.077132274	295	1.0872761185
1.165412509	332	1.0872761185
1.266461426	363	1.0872761185
1.354981366	396	1.0872761185
1.405594125	419	1.0872761185
1.506856996	432	1.0872761185
1.709370103	457	1.0872761185
1.873697059	502	1.0872761185
2.037639568	533	1.0872761185
2.226121599	560	1.0872761185
2.401210568	588	1.0872761185
2.562968802	608	1.0872761185
2.723871618	625	1.0872761185
2.957466095	642	1.0872761185
3.237894467	682	1.0872761185
3.480034136	694	1.0872761185
3.745168855	706	1.0872761185
3.997648675	717	1.0872761185
4.237809679	724	1.0872761185
4.477303484	730	1.0872761185
4.738399296	736	1.0872761185
4.959560823	740	1.0872761185
5.304480875	747	1.0872761185
5.502250956	750	1.0872761185
5.790728667	753	1.0872761185
5.959673022	755	1.0872761185
6.350272062	759	1.0872761185
6.717170228	763	1.0872761185
7.009746741	766	1.0872761185
7.23094934	771	1.0872761185

