0.00218736	0
0.30555989	-1
0.379140755	-3
0.452996431	-3
0.638747468	-13
0.750884677	-2
0.989013144	-29
1.077132274	-40
1.190660667	-59
1.266461426	-73
1.329682228	-87
1.519516576	-94
1.722020355	-129
1.873697059	-164
2.050229935	-192
2.238656248	-219
2.376252043	-246
2.562968802	-263
2.803994297	-287
3.079686765	-314
3.347024268	-343
3.576559292	-364
3.91352656	-382
4.273796297	-406
4.572659914	-427
4.901907499	-442
5.239694836	-456
5.51233537	-468
5.781562507	-476
6.036549887	-483
6.248964954	-489
6.448447032	-493
6.669758963	-497
6.847242844	-501
7.015467848	-503
7.171808246	-505
7.268518137	-507

