
# Curve 0 of 1, 1000 points
# x y type
 6.94978e-310  0  u
 0.00800801  10.1558  i
 0.016016  10.2025  i
 0.024024  10.2614  i
 0.032032  10.3292  i
 0.04004  10.4041  i
 0.048048  10.4848  i
 0.0560561  10.5702  i
 0.0640641  10.6598  i
 0.0720721  10.7529  i
 0.0800801  10.849  i
 0.0880881  10.9476  i
 0.0960961  11.0485  i
 0.104104  11.1512  i
 0.112112  11.2556  i
 0.12012  11.3613  i
 0.128128  11.4682  i
 0.136136  11.576  i
 0.144144  11.6845  i
 0.152152  11.7936  i
 0.16016  11.9031  i
 0.168168  12.0128  i
 0.176176  12.1226  i
 0.184184  12.2325  i
 0.192192  12.3422  i
 0.2002  12.4516  i
 0.208208  12.5607  i
 0.216216  12.6693  i
 0.224224  12.7773  i
 0.232232  12.8847  i
 0.24024  12.9914  i
 0.248248  13.0972  i
 0.256256  13.2022  i
 0.264264  13.3062  i
 0.272272  13.4091  i
 0.28028  13.5109  i
 0.288288  13.6116  i
 0.296296  13.711  i
 0.304304  13.8092  i
 0.312312  13.9059  i
 0.32032  14.0013  i
 0.328328  14.0952  i
 0.336336  14.1876  i
 0.344344  14.2785  i
 0.352352  14.3677  i
 0.36036  14.4553  i
 0.368368  14.5413  i
 0.376376  14.6255  i
 0.384384  14.7079  i
 0.392392  14.7885  i
 0.4004  14.8673  i
 0.408408  14.9442  i
 0.416416  15.0192  i
 0.424424  15.0922  i
 0.432432  15.1633  i
 0.44044  15.2324  i
 0.448448  15.2994  i
 0.456456  15.3644  i
 0.464464  15.4273  i
 0.472472  15.4881  i
 0.48048  15.5468  i
 0.488488  15.6033  i
 0.496496  15.6577  i
 0.504505  15.7098  i
 0.512513  15.7597  i
 0.520521  15.8074  i
 0.528529  15.8529  i
 0.536537  15.896  i
 0.544545  15.9369  i
 0.552553  15.9755  i
 0.560561  16.0117  i
 0.568569  16.0456  i
 0.576577  16.0772  i
 0.584585  16.1064  i
 0.592593  16.1333  i
 0.600601  16.1578  i
 0.608609  16.1798  i
